"","age","ice_forcing"
"1064",1.517,-1.13
"1065",1.516,-1.14
"1066",1.515,-1.15
"1067",1.514,-1.2
"1068",1.513,-1.3
"1069",1.512,-1.53
"1070",1.511,-1.9
"1071",1.51,-2.2
"1072",1.509,-2.47
"1073",1.508,-2.62
"1074",1.507,-2.68
"1075",1.506,-2.74
"1076",1.505,-2.81
"1077",1.504,-2.88
"1078",1.503,-2.94
"1079",1.502,-2.98
"1080",1.501,-2.99
"1081",1.5,-2.98
"1082",1.499,-2.94
"1083",1.498,-2.89
"1084",1.497,-2.83
"1085",1.496,-2.73
"1086",1.495,-2.58
"1087",1.494,-2.3
"1088",1.493,-1.92
"1089",1.492,-1.49
"1090",1.491,-1.03
"1091",1.49,-0.71
"1092",1.489,-0.54
"1093",1.488,-0.43
"1094",1.487,-0.38
"1095",1.486,-0.33
"1096",1.485,-0.29
"1097",1.484,-0.23
"1098",1.483,-0.16
"1099",1.482,-0.1
"1100",1.481,-0.06
"1101",1.48,-0.06
"1102",1.479,-0.09
"1103",1.478,-0.13
"1104",1.477,-0.19
"1105",1.476,-0.21
"1106",1.475,-0.21
"1107",1.474,-0.23
"1108",1.473,-0.27
"1109",1.472,-0.38
"1110",1.471,-0.56
"1111",1.47,-1.04
"1112",1.469,-1.81
"1113",1.468,-2.3
"1114",1.467,-2.53
"1115",1.466,-2.68
"1116",1.465,-2.78
"1117",1.464,-2.85
"1118",1.463,-2.9
"1119",1.462,-2.94
"1120",1.461,-2.97
"1121",1.46,-3.02
"1122",1.459,-3.07
"1123",1.458,-3.08
"1124",1.457,-3.05
"1125",1.456,-2.97
"1126",1.455,-2.84
"1127",1.454,-2.61
"1128",1.453,-2.28
"1129",1.452,-1.8
"1130",1.451,-1.18
"1131",1.45,-0.74
"1132",1.449,-0.47
"1133",1.448,-0.31
"1134",1.447,-0.25
"1135",1.446,-0.21
"1136",1.445,-0.19
"1137",1.444,-0.13
"1138",1.443,-0.02
"1139",1.442,0.06
"1140",1.441,0.11
"1141",1.44,0.15
"1142",1.439,0.18
"1143",1.438,0.17
"1144",1.437,0.13
"1145",1.436,0.07
"1146",1.435,-0.02
"1147",1.434,-0.07
"1148",1.433,-0.11
"1149",1.432,-0.15
"1150",1.431,-0.2
