age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
2.447,5%,8%,0%,0%,0%,0%,12%,12%,8%,4%,0%,0%,32%,14%,4%,12.3,9.1,14.2
2.452,6%,13%,0%,0%,0%,0%,5%,22%,6%,6%,0%,0%,31%,11%,0%,16.2,14,16
2.457,6%,10%,0%,0%,0%,0%,8%,15%,7%,3%,0%,0%,37%,10%,3%,15.3,13.2,15.7
2.461,4%,8%,0%,0%,0%,0%,6%,20%,5%,3%,0%,0%,46%,8%,0%,18.3,17,18.7
2.466,4%,9%,0%,0%,0%,0%,9%,14%,6%,6%,1%,2%,38%,9%,3%,15.6,12.9,16.3
2.474,7%,12%,0%,0%,0%,0%,8%,17%,7%,3%,0%,0%,32%,15%,0%,14.8,12.5,14.9
2.482,7%,8%,0%,0%,0%,0%,8%,13%,11%,4%,0%,0%,31%,12%,5%,14.2,12.4,13.9
2.487,6%,8%,0%,0%,0%,0%,12%,15%,8%,4%,0%,0%,34%,11%,2%,13,10.4,13.7
2.489,9%,17%,0%,0%,0%,0%,12%,26%,0%,0%,0%,0%,37%,0%,0%,13,10.5,13.3
2.495,6%,15%,0%,0%,0%,0%,7%,12%,14%,6%,0%,0%,24%,11%,4%,13.7,9.8,11.8
2.501,9%,16%,0%,0%,0%,0%,9%,20%,0%,0%,0%,0%,46%,0%,0%,15.8,13.7,16.5
2.502,13%,18%,0%,0%,0%,0%,7%,23%,0%,0%,0%,0%,39%,0%,0%,15.4,13.7,14.7
2.508,4%,9%,0%,0%,0%,0%,8%,14%,6%,6%,0%,0%,44%,9%,0%,17.1,15.1,17.3
2.514,7%,9%,0%,0%,0%,0%,14%,14%,6%,3%,0%,0%,36%,9%,2%,12.5,9.9,14
2.52,7%,11%,0%,0%,0%,0%,11%,15%,8%,9%,0%,0%,25%,12%,3%,11.3,8.7,12.7
